Lizard Survey Data Sheet,,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Trail_Walked,Segment,Surveyors,Survey_Start_Time,Survey_End_Time,Gross_ID,Animal_ID,Family,Genus,Species,Common_Name,Time_Found_,GPS_Coordinates,Observor,Temperature_at_Time_of_Detection,Humidity_at_Time_of_Detection,Distance_From_Trail_m,Height_of_Individual,Habitat_Type,Time_Window_of_Last_Rain_Event_h,Weather,Wind,Notes
07/14/24,TBS,Harpia Plot-Harpia,HAPL-01,"O,T",8:51 PM,12:05 AM,Lizard,LZ25,Anolidae,Anolis,scypheus,Yellow-tongued Anole,9:15 PM,S0° 38.054' W76° 08.552',Owen,79.1,86,1.7,U,Terrafirme,12,clear,no wind,
07/15/24,TBS,Anaconda-Lago,LAGO-02,"O,M",8:14 PM,11:42 PM,Lizard,LZ26,Anolidae,Anolis,scypheus,Yellow-tongued Anole,11:13 PM,S0° 38.332' W76° 09.241',Owen,74.8,91.1,0.3,U,Varzea,24,clear,no wind,
07/17/24,TBS,Puma-Puma Plot,PUMA-01,"O,T",8:14 PM,11:22 PM,Lizard,LZ27,Phyllodactylidae,Thecadactylus,solimoensis,Turniptail Gecko,8:39 PM,S0° 37.825' W76° 09.423',Owen,74.5,89.2,5.7,U,Terrafirme,6,partly cloudy,no wind,
07/17/24,TBS,Puma-Puma Plot,PUPL-02,"O,T",8:14 PM,11:22 PM,Lizard,LZ28,Anolidae,Anolis,scypheus,Yellow-tongued Anole,9:24 PM,S0° 37.489' W76° 09.443',Owen,74.8,89.7,0.8,U,Terrafirme,6,partly cloudy,no wind,
07/17/24,TBS,Puma-Puma Plot,PUPL-08,"O,T",8:14 PM,11:22 PM,Lizard,LZ29,Anolidae,Anolis,scypheus,Yellow-tongued Anole,10:40 PM,S0° 37.419' W76° 09.688',Owen,74.6,90.3,3.8,U,Varzea,6,partly cloudy,no wind,
07/18/24,TBS,Harpia Plot-Harpia-Matapalo,HARP-01,"O,Brian",8:00 PM,10:50 PM,Lizard,LZ30,Gymnophthalmidae,Cercosaura,argulus,Elegant Eyed Lizard,10:14 PM,S0° 38.079' W76° 08.753',Owen,76.5,92.2,0.4,U,Terrafirme,24,partly cloudy,felt on face,
07/20/24,TBS,Puma-Puma Plot,PUPL-04,"O,T",8:06 PM,11:51 PM,Lizard,LZ31,Hoplocercidae,Enyalioides,laticeps,Broad-headed Wood Lizard,11:27 PM,S0° 37.355' W76° 09.530',Owen,74,98.3,6,U,Varzea,6,cloudy,none,
07/23/24,YRS,Tinamou-Napo-Pantano-Botanico-Gran Ficus,NAPO-02,"O,T",8:09 PM,10:46 PM,Lizard,LZ32,Gymnophthalmidae,Loxopholis,parietalis,Common Root Teju,9:16 PM,S0° 40.542' W76° 24.071',Owen,79.3,86.3,0,G,Terrafirme,48,partly cloudy,none,
07/23/24,YRS,Tinamou-Napo-Pantano-Botanico-Gran Ficus,NAPO-02,"O,T",8:09 PM,10:46 PM,Lizard,LZ33,Hoplocercidae,Enyalioides,laticeps,Broad-headed Wood Lizard,9:28 PM,S0° 40.476' W76° 24.084',Therese,79.1,87.3,0.3,U,Terrafirme,48,partly cloudy,none,
07/25/24,YRS,Forest Plot North Edge-Forest Plot Interior-Forest Plot North Edge-Torre,FPPE-05,"O,T",8:19 PM,10:44 PM,Lizard,LZ34,Hoplocercidae,Enyalioides,laticeps,Broad-headed Wood Lizard,8:34 PM,S0° 40.862' W76° 24.189',Therese,80.6,85.1,0.2,U,Terrafirme,96,partly cloudy,felt on face,
07/25/24,YRS,Forest Plot North Edge-Forest Plot Interior-Forest Plot North Edge-Torre,TORR-01,"O,T",8:19 PM,10:44 PM,Lizard,LZ35,Hoplocercidae,Enyalioides,laticeps,Broad-headed Wood Lizard,10:07 PM,S0° 40.833' W76° 23.318',Owen,79.3,83.3,0.1,U,Terrafirme,96,partly cloudy,felt on face,
07/28/24,YRS,Peru-Ceiba,PERU-02,"O,M",8:27 PM,11:31 PM,Lizard,LZ36,Anolidae,Anolis,scypheus,Yellow-tongued Anole,10:01 PM,S0° 40.558' W76° 23.437',Mike,75.6,89.5,1,U,Terrafirme,6,partly cloudy,felt on face,
07/28/24,YRS,Peru-Ceiba,PERU-01,"O,M",8:27 PM,11:31 PM,Lizard,LZ37,Anolidae,Anolis,scypheus,Yellow-tongued Anole,10:48 PM,S0° 40.657' W76° 23.633',Owen,76.6,87.2,0.2,U,Terrafirme,6,partly cloudy,felt on face,
07/28/24,YRS,Peru-Ceiba,CEIB-01,"O,M",8:27 PM,11:31 PM,Lizard,LZ38,Hoplocercidae,Enyalioides,laticeps,Broad-headed Wood Lizard,9:12 PM,S0° 40.642' W76° 23.699',Mike,75.3,91,1.7,U,Terrafirme,6,partly cloudy,felt on face,
07/31/24,YRS,Torre-Forest Plot North Edge-Forest Plot Interior,TORR-01,"O,M",8:38 PM,11:53 PM,Lizard,LZ39,Anolidae,Anolis,trachyderma,Common Forest Anole,9:05 PM,S0° 40.804' W76° 23.070',Owen,77.8,92.6,2.2,U,Terrafirme,54,clear,none,
07/31/24,YRS,Torre-Forest Plot North Edge-Forest Plot Interior,TORR-01,"O,M",8:38 PM,11:53 PM,Lizard,LZ40,Hoplocercidae,Enyalioides,laticeps,Broad-headed Wood Lizard,10:02 PM,S0° 40.828' W76° 23.317',Owen,79.1,88,0.1,U,Terrafirme,54,clear,none,
08/01/24,YRS,Tinamou-Napo-Pantano-Botanico-Gran Ficus,TINA-02,"O,T,A",8:07 PM,10:19 PM,Lizard,LZ41,Hoplocercidae,Enyalioides,laticeps,Broad-headed Wood Lizard,8:19 PM,S0° 40.542' W76° 23.966',Owen,75.9,90.3,0.2,U,Terrafirme,78,clear,none,
08/01/24,YRS,Tinamou-Napo-Pantano-Botanico-Gran Ficus,TINA-02,"O,T,A",8:07 PM,10:19 PM,Lizard,LZ42,Gymnophthalmidae,Loxopholis,parietalis,Common Root Teju,8:45 PM,S0° 40.642' W76° 24.078',Owen,74.6,93.9,5.5,U,Terrafirme,78,clear,none,
08/01/24,YRS,Tinamou-Napo-Pantano-Botanico-Gran Ficus,TINA-02,"O,T,A",8:07 PM,10:19 PM,Lizard,LZ43,Gymnophthalmidae,Loxopholis,parietalis,Common Root Teju,8:46 PM,S0° 40.639' W76° 24.077',Owen,74.6,93.9,0,G,Terrafirme,78,clear,none,
08/01/24,YRS,Tinamou-Napo-Pantano-Botanico-Gran Ficus,GRFI-01,"O,T,A",8:07 PM,10:19 PM,Lizard,LZ44,Anolidae,Anolis,trachyderma,Common Forest Anole,10:18 PM,S0° 40.576' W76° 23.887',Alyssa,73.5,95.1,0,U,Terrafirme,78,clear,none,
