Date,Station,Survey_Type,Segment,Survey_Start_Time,Survey_End_Time,Gross_ID,Animal_ID,Family,Species,Common_Name,Habitat_Type
6/10/2025,YRS,Night,PERU-02,8:07 PM,10:33 PM,Frog,FG311,Hylidae,Osteocephalus yasuni,Yasuni Spiny-backed Treefrog,Terrafirme
6/10/2025,YRS,Night,PERU-04,8:07 PM,10:33 PM,Salamander,SL27,Plethodontidae,Bolitoglossa peruviana,Peruvian Climbing Salamander,Terrafirme
6/10/2025,YRS,Night,PERU-04,8:07 PM,10:33 PM,Lizard,LZ65,Tropiduridae,Plica plica,Collared Treerunner,Terrafirme
6/10/2025,YRS,Night,PERU-05,8:07 PM,10:33 PM,Frog,FG312,Craugastoridae,Oreobates quixensis,Common Big-headed Frog,Varzea
6/10/2025,YRS,Night,PERU-05,8:07 PM,10:33 PM,Frog,FG313,Hylidae,Boana lanciformis,Basin Tree Frog,Varzea
6/11/2025,YRS,Afternoon,FPPE-01,3:06 PM,5:43 PM,Lizard,LZ66,Alopoglossidae,Alopoglossus atriventris,Keel-bellied Shade Lizard,Terrafirme
6/11/2025,YRS,Afternoon,FPPE-02,3:06 PM,5:43 PM,Frog,FG314,Dendrobatidae,Ameerega hahneli,Pale-striped Poison Frog,Terrafirme
6/11/2025,YRS,Afternoon,FPPE-02,3:06 PM,5:43 PM,Frog,FG315,Dendrobatidae,Ameerega hahneli,Pale-striped Poison Frog,Terrafirme
6/11/2025,YRS,Afternoon,FPPE-02,3:06 PM,5:43 PM,Frog,FG316,Bufonidae,Rhinella margaritifera,South American Common Toad,Varzea
6/11/2025,YRS,Afternoon,FPPE-02,3:06 PM,5:43 PM,Lizard,LZ67,Alopoglossidae,Alopoglossus atriventris,Keel-bellied Shade Lizard,Varzea
6/11/2025,YRS,Afternoon,FPPE-04,3:06 PM,5:43 PM,Frog,FG317,Dendrobatidae,Ranitomeya ventrimaculata,Reticulated Poison Frog,Terrafirme
6/12/2025,YRS,Morning,NAPO-02,9:18 AM,10:40 AM,Frog,FG318,Dendrobatidae,Ranitomeya ventrimaculata,Reticulated Poison Frog,Terrafirme
6/12/2025,YRS,Morning,NAPO-02,9:18 AM,10:40 AM,Frog,FG319,Leptodactylidae,Lithodytes lineatus,Painted Antnest Frog,Terrafirme
6/12/2025,YRS,Morning,NAPO-02,9:18 AM,10:40 AM,Frog,FG320,Bufonidae,Rhinella margaritifera,South American Common Toad,Terrafirme
6/12/2025,YRS,Morning,NAPO-02,9:18 AM,10:40 AM,Lizard,LZ68,Anolidae,Anolis scypheus,Yellow-tongued Anole,Terrafirme
6/12/2025,YRS,Morning,NAPO-02,9:18 AM,10:40 AM,Frog,FG321,Bufonidae,Rhinella margaritifera,South American Common Toad,Terrafirme
6/12/2025,YRS,Morning,NAPO-02,9:18 AM,10:40 AM,Frog,FG322,Bufonidae,Rhinella margaritifera,South American Common Toad,Terrafirme
